Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,50,14.94,3.35,9.9,-33.6,2.1,0.4,17.6,19.8,11.6
Australia,6,1.34,4.30,1.1,-14.6,-11.0,-12.5,2.5,4.4,-2.7
Brazil,16,3.24,4.78,3.1,-5.1,55.5,53.0,79.1,82.5,70.1
Britain,3,0.76,3.94,0.6,-21.8,-13.2,-14.6,0.0,1.9,-5.0
Canada,6,1.30,4.60,1.2,-8.6,1.9,0.2,17.3,19.5,11.4
Chile,2300,651.12,3.53,456.3,-29.9,8.0,6.3,24.4,26.8,18.2
China,19,6.68,2.79,3.7,-44.7,-8.6,-10.1,5.3,7.3,0.0
Colombia,8900,2929.00,3.04,1765.9,-39.7,2.4,0.7,18.0,20.2,12.0
Costa Rica,2250,546.39,4.12,446.4,-18.3,,,,,
Czech Republic,75,24.55,3.06,14.9,-39.4,-11.0,-12.4,2.5,4.4,-2.6
Denmark,30,6.76,4.44,6.0,-11.9,-9.1,-10.6,4.7,6.6,-0.6
Egypt,23,8.88,2.59,4.6,-48.6,-9.7,-11.2,4.0,5.9,-1.3
Euro area,4,0.91,4.21,0.8,-16.6,1.7,0.0,17.1,19.3,11.2
Hong Kong,19,7.76,2.48,3.8,-50.9,-44.7,-45.7,-36.4,-35.2,-39.6
Hungary,900,285.64,3.15,178.6,-37.5,-2.3,-3.9,12.6,14.7,6.9
India,162,67.20,2.41,32.1,-52.2,-13.3,-14.7,-0.1,1.7,-5.2
Indonesia,31000,13112.50,2.36,6150.8,-53.1,-17.1,-18.5,-4.6,-2.8,-9.4
Israel,17,3.86,4.38,3.4,-13.1,4.6,2.9,20.5,22.7,14.4
Japan,370,106.73,3.47,73.4,-31.2,-14.8,-16.2,-1.8,0.0,-6.8
Malaysia,8,4.03,1.99,1.6,-60.6,-36.2,-37.2,-26.5,-25.1,-30.2
Mexico,44,18.54,2.37,8.7,-52.9,-23.1,-24.4,-11.5,-9.8,-15.9
New Zealand,6,1.42,4.22,1.2,-16.2,-0.9,-2.5,14.2,16.3,8.4
Norway,47,8.49,5.51,9.3,9.3,-5.5,-7.1,8.8,10.8,3.3
Pakistan,375,104.82,3.58,74.4,-29.0,29.0,26.9,48.6,51.3,41.1
Peru,10,3.31,3.02,2.0,-40.0,2.0,0.4,17.5,19.7,11.6
Philippines,133,47.12,2.82,26.4,-44.0,-0.3,-2.0,14.8,16.9,9.0
Poland,10,3.97,2.42,1.9,-52.0,-25.2,-26.4,-13.8,-12.2,-18.1
Russia,130,63.41,2.05,25.8,-59.3,-33.7,-34.8,-23.6,-22.2,-27.4
Saudi Arabia,12,3.75,3.20,2.4,-36.5,-10.7,-12.1,2.9,4.8,-2.3
Singapore,5,1.36,4.01,1.1,-20.4,-18.4,-19.7,-6.0,-4.2,-10.7
South Africa,30,14.27,2.10,6.0,-58.3,-28.8,-29.9,-18.0,-16.4,-22.1
South Korea,4400,1140.95,3.86,873.0,-23.5,0.2,-1.4,15.5,17.6,9.6
Sri Lanka,530,146.20,3.63,105.2,-28.1,,,,,
Sweden,45,8.59,5.23,8.9,3.7,9.1,7.3,25.7,28.0,19.3
Switzerland,7,0.99,6.59,1.3,30.8,8.5,6.7,24.9,27.3,18.6
Taiwan,69,32.03,2.15,13.7,-57.3,-40.9,-41.8,-31.9,-30.6,-35.3
Thailand,119,34.97,3.40,23.6,-32.5,15.3,13.4,32.8,35.2,26.1
Turkey,11,3.04,3.53,2.1,-29.9,13.7,11.8,31.0,33.4,24.4
UAE,13,3.67,3.54,2.6,-29.8,,,,,
Ukraine,39,24.80,1.57,7.7,-68.8,,,,,
United States,5,1.00,5.04,1.0,0.0,0.0,-1.6,15.2,17.3,9.4
Uruguay,123,30.17,4.08,24.4,-19.1,,,,,
Venezuela,2170,641.40,3.38,430.6,-32.9,,,,,
Vietnam,60000,22300.00,2.69,11904.8,-46.6,,,,,
Austria,4,0.91,3.96,0.7,-21.4,-12.6,-14.1,0.6,2.5,-4.4
Belgium,4,0.91,4.35,0.8,-13.7,-0.8,-2.5,14.2,16.3,8.5
Estonia,3,0.91,3.41,0.6,-32.3,-0.6,-2.2,14.5,16.6,8.7
Finland,5,0.91,5.06,0.9,0.5,13.5,11.6,30.7,33.1,24.1
France,4,0.91,4.51,0.8,-10.4,5.4,3.6,21.4,23.6,15.2
Germany,4,0.91,4.17,0.8,-17.2,-5.7,-7.2,8.7,10.7,3.2
Greece,3,0.91,3.69,0.7,-26.8,6.4,4.7,22.5,24.8,16.4
Ireland,4,0.91,4.40,0.8,-12.6,-9.3,-10.8,4.5,6.4,-0.8
Italy,4,0.91,4.62,0.8,-8.3,16.8,14.9,34.5,37.1,27.8
Netherlands,3,0.91,3.80,0.7,-24.6,-16.2,-17.5,-3.5,-1.6,-8.3
Portugal,3.05,0.9,3.4,0.6,-33.4,-4.3,-5.9,10.2,12.2,4.6
Spain,3.5,0.9,3.9,0.7,-23.5,1.6,0.0,17.0,19.2,11.2
